"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B9C7GXHD","journalArticle","1997","Hilton, John L.; Reynolds, Noel B.; Saxonhouse, Arlene W.","Hobbes and `A Discourse of Laws': Response to Fortier","The Review of Politics","","","","","","1997","2016-08-16 19:48:06","2017-01-09 08:41:08","","889-903","","4","59","","","","","","","","","","","","","","","","","Hilton, John L., Noel B. Reynolds, and Arlene W. Saxonhouse. Hobbes and `A Discourse of Laws': Response to Fortier. The Review of Politics 59.4 1997: 889-903.  bibtex: hilton_hobbes_1997","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9D7TN8A","conferencePaper","2015","Evert, Stefan; Proisl, Thomas; Schöch, Christof; Jannidis, Fotis; Pielström, Steffen; Vitt, Thorsten","Explaining Delta, or: How do distance measures for authorship attribution work?","Corpus Linguistics 2015, (Lancaster, UK)","","","","https://zenodo.org/record/18308","","2015","2017-01-03 10:44:40","2017-01-23 10:39:13","","","","","","","","","","","","","","","","","","","","","","bibtex: evert_explaining_2015","","","","cligs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Corpus Linguistics 2015","","","","","","","","","","","","","","",""
"B9RUAF5H","journalArticle","1973","Bee, Ronald E.","The Use of Statistical Methods in Old Testament Studies","Vetus Testamentum","","","","","","1973","2016-08-16 19:59:29","2017-01-02 12:15:08","","257-272","","3","23","","","","","","","","","","","","","","","","","Bee, Ronald E. The Use of Statistical Methods in Old Testament Studies. Vetus Testamentum 23.3 1973: 257-272.  bibtex: bee_use_1973","","","","#jr3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BA2FRVII","bookSection","1999","McKenna, Wayne; Burrows, John; Antonia, Alexis; Ramsland, Marie","Beckett's ""Molloy"""": Computational Stylistics and the Meaning of Translation.""","Variété: Perspectives in French Literature, Society and Culture. Studies in Honour of Kenneth Raymond Dutton.","","","","","","1999","2016-08-16 19:50:16","2017-01-07 19:10:10","","79-92","","","","","","","","","","","","","","","","","","","","bibtex: mckenna_becketts_1999-1","","","","#cllc; computational stylistics; Molloy; Samuel Beckett; translation theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BA5U33X6","journalArticle","2002","Sebastiani, Fabrizio","Machine learning in automated text categorization","ACM Computing Surveys","","0360-0300","","","","2002-03","2016-08-16 16:43:38","2017-01-06 18:12:17","","1–47","","1","34","","","","","","","","","","","","","","","","","bibtex: sebastiani_machine_2002","","","","#me; #pj","","Hankin, Chris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BA963EAF","bookSection","2008","Ramsay, Stephen","Algorithmic Criticism","Companion to Digital Literary Studies","978-1-4051-4864-1","","","http://www.digitalhumanities.org/companionDLS/","Review: http://www.digitalstudies.org/ojs/index.php/digital_studies/article/view/233/275","2008","2017-01-03 10:33:26","2017-01-06 09:38:32","2010-02-24 19:49:07","n.p.","","","","","","","","","","","Blackwell","Oxford","en","","","","","","0005","Review: http://www.digitalstudies.org/ojs/index.php/digital_studies/article/view/233/275  bibtex: ramsay_algorithmic_2008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BABUIVZK","journalArticle","1975","Ule, Louis A.","The Use of CONSTAT in Authorship Investigations","ALLC Bulletin","","","","","","1975","2016-08-16 20:03:29","2017-01-08 14:29:20","","211-225","","","3","","","","","","","","","","","","","","","","","---. The Use of CONSTAT in Authorship Investigations. ALLC Bulletin 3 1975: 211-225.  bibtex: ule_use_1975","","","","#jr5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BADKE2UJ","conferencePaper","1984","Nagao, Makoto","A Framework of a Mechanical Translation Between Japanese And English by Analogy Principle","Artificial and Human Intelligence (Proc. of the international NATO symposium on Artificial and human intelligence, Lyon, France)","","","","","","1984","2016-08-16 16:43:38","2017-01-06 09:31:55","","173-80","","","","","","","","","","","North-Holland / Elsevier","New York","","","","","","","","bibtex: nagao_framework_1984","","","","#pj","","Elithorn, A.; Barnerji, R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAFEC46K","document","2007","Ahonen, Teppo E.","Stylistics","","","","","","","2007","2016-08-16 19:48:06","2016-12-21 12:44:52","","","","","","","","","","","","","","","","","","","","","","Ahonen, Teppo E. Stylistics. Essay I.2.7 Department of Computer Science, University of Helsinki, 2007.  bibtex: ahonen_stylistics_2007","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAHQ6ZUQ","journalArticle","2011","Virpioja, Sami; Turunen, Ville T.; Spiegler, Sebastian; Kohonen, Oskar; Kurimo, Mikko","Empirical Comparison of Evaluation Methods for Unsupervised Learning of Morphology","TAL","","","","","","2011","2016-08-16 16:43:38","2016-08-16 16:43:38","","45–90","","2","52","","","","","","","","","","","","","","","","","bibtex: virpioja_empirical_2011","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAI99R4B","journalArticle","2002","Rudman, Joseph","Non-Traditional Authorship Attribution Studies in Eighteenth Century. Stylistics Statistics and the Computer","Jahrbuch für Computerphilologie","","","","http://computerphilologie.uni-muenchen.de/jg02/rudman.html","","2002","2017-01-03 10:24:52","2017-01-08 13:12:12","","151-166","","","4","","","","","","","","","","en","","","","","","","Rudman, Joseph: Non-Traditional Authorship Attribution Studies in Eighteenth Century. Stylistics Statistics and the Computer. In: Jahrbuch für Computerphilologie 4 (2002), S. 151-166.  bibtex: rudman_non-traditional_2002-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAXUJVWJ","journalArticle","1965","Royal Statistical Society","Discussion on Mr. Morton's Paper","Journal of the Royal Statistical Society A","","","","","","1965","2016-08-16 19:57:47","2017-01-09 08:41:08","","224-233","","2","128","","","","","","","","","","","","","","","","","Royal Statistical Society. Discussion on Mr. Morton's Paper. Journal of the Royal Statistical Society A 128.2 1965: 224-233.  bibtex: royal_statistical_society_discussion_1965","","","","#jr6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BB8XRDHE","conferencePaper","2012","Ali, Nawaf; Schaeffer, Derek; Yamposkiy, Roman V.","Linguistic Profiling and Behavioral Drift in Chat Bots","Proceedings of the Midwest Artificial Intelligence and Cognitive Science Conference, (Cincinatti, Ohio)","","","","","","2012","2016-08-16 19:48:06","2017-01-15 18:17:20","","27-31","","","","","","","","","","","MAICS","Red Hook, NY","","","","","","","","Ali, Nawaf, Derek Schaeffer, and Roman V. Yampolskiy. Linguistic Profiling and Behavioral Drift in Chat Bots. Proceedings of the Midwest Artificial Intelligence and Cognitive Science Conference. 2012. pp. 27-30.  bibtex: ali_linguistic_2012","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the Midwest Artificial Intelligence and Cognitive Science Conference","","","","","","","","","","","","","","",""
"BBBZIQU3","conferencePaper","2011","Zheng, Nan; Paloski, Aaron; Wang, Haining","An efficient user verification system via mouse movements","Proceedings of the 18th ACM conference on Computer and communications security","978-1-4503-0948-6","","10.1145/2046707.2046725","http://doi.acm.org/10.1145/2046707.2046725","","2011","2016-08-16 16:43:38","2017-01-09 08:41:08","","139–150","","","","","","","CCS '11","","","","ACM","New York, NY, USA","","","","","","","","bibtex: zheng_efficient_2011","","","","#pj; angle-based metrics; mouse dynamics; user verification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBFKVUTG","thesis","2007","Santini, Marina","Automatic Identification of Genre in Web Pages","","","","","","","2007-01","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","School of Computing, Engineering and Mathematics, University of Brighton","Brighton, United Kingdom","","","PhD Thesis","","","","","bibtex: santini_automatic_2007","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBT2GZ8E","book","1992","Kirby, Lorne T.","DNA Fingerprinting","","","","","","","1992","2016-08-16 19:59:29","2016-08-16 19:59:29","","","","","","","","","","","","","W.H.Freeman and Co.","New York","","","","","","","","Kirby, Lorne T. DNA Fingerprinting. New York: W.H.Freeman and Co., 1992.  bibtex: kirby_dna_1992","","","","#jr3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCVSA36E","journalArticle","2006","Zheng, R.; Li, J.; Chen, H.; Huang, and Z.","A Framework for Authorship Identification of Online Messages: Writing-Style Features and Classification Techniques","Journal of the American Society for Information Science and Technology","","","","","","2006","2016-08-16 16:43:38","2016-08-16 16:43:38","","378–393","","3","57","","","","","","","","","","","","","","","","","bibtex: zheng_framework_2006","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BD37QZVC","journalArticle","1983","Ule, L.","Recent Progress in Computer Methods of Authorship Determination","Association for Literary and Linguistic Computing Bulletin","","","","","","1983","2016-08-16 16:43:38","2017-01-08 14:28:26","","73–89","","3","10","","","","","","","","","","","","","","","","","bibtex: ule_recent_1982","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BD6KAU2P","journalArticle","2007","Hirst, Graeme; Feiguina, Ol’ga","Bigrams of syntactic labels for authorship discrimination of short texts","Literary and Linguistic Computing","","","10.1093/llc/fqm023","http://llc.oxfordjournals.org/content/22/4/405.short","","2007","2017-01-06 18:03:52","2017-04-12 20:42:56","2015-11-25","405-417","","4","22","","","","","","","","","","","","","","","","","bibtex: hirst_bigrams_2007","","","","#me; recommended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDIEMR4G","journalArticle","1993","Miller, G.; Beckwith, R.; Fellbaum, C.; Gross, D.; Miller, K.","Five Papers on WordNet","International Journal of Lexicography","","","","","","1993","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","3","","","","","","","","","","","","","","","","","bibtex: miller_five_1993","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BE6M5TUQ","book","1986","Lyons, Louis","Statistics for Nuclear and Particle Physicists","","","","","","","1986","2016-08-16 19:59:29","2016-08-16 19:59:29","","","","","","","","","","","","","Cambridge University Press","Cambridge","","","","","","","","Lyons, Louis. Statistics for Nuclear and Particle Physicists. Cambridge: Cambridge University Press, 1986. See Chapter 1 -- Experimental Errors.  bibtex: lyons_statistics_1986","","","","#jr3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEDM5EI2","conferencePaper","2012","Stamatatos, Efstathios","On the Robustness of Authorship Attribution Based on Character n-gram Features","Proceedings of the Brooklyn Law School Authorship Attribution Workshop","","","","","","2012","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","","","","","","","","","","bibtex: stamatatos_robustness_2012","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEIQXRTN","book","1993","Charniak, Eugene","Statistical Language Learning","","","","","","","1993","2016-08-16 16:43:38","2016-11-17 14:23:47","","","","","","","","","","","","","MIT Press","Cambridge, MA","","","","","","","","bibtex: charniak_statistical_1993","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEM2847S","conferencePaper","1999","Stamatatos, Efstathios; Fakotakis, Nikos; Kokkinakis, George","Automatic Authorship Attribution","Proceedings of EACL '99","","","","","","1999-06","2016-08-16 16:43:38","2017-01-09 08:41:08","","158–164","","","","","","","","","","","","Bergen, Norway","","","","","","","","bibtex: stamatatos_automatic_1999","","","","#pj","","Thompson, Henry S.; Lascarides, Alex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of EACL '99","","","","","","","","","","","","","","",""
"BEQV4E3G","journalArticle","1989","Jones, Carla Faust","The Literary Detective Computer Analysis of Stylistic Differences Between `The Dark Tower' and C.S. Lewis' Deep Space Trilogy","Mythlore","","","","","","1989","2016-08-16 19:48:06","2017-01-09 08:41:08","","11-15","","57","","","","","","","","","","","","","","","","","","Jones, Carla Faust. The Literary Detective Computer Analysis of Stylistic Differences Between `The Dark Tower' and C.S. Lewis' Deep Space Trilogy. Mythlore 57 1989: 11-15.  bibtex: jones_literary_1989","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BETTQQXW","journalArticle","2011","Craig, Hugh","A and an in English Plays, 1580-1639","Texas Studies in Literature and Language","","","","","","2011","2016-08-16 19:50:16","2017-01-01 20:08:33","","273-293","","53","","","","","","","","","","","","","","","","","","bibtex: craig_and_2011","","","","#cllc; computational stylistics; Definite article; English Plays 1580-1639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFQ9INCG","bookSection","1999","Riepl, Christian","Wie wird Literatur berechenbar? Ein Modell zur rechnergestützten Analyse althebräischer Texte","Jahrbuch für Computerphilologie","","","","","","1999","2017-01-03 10:22:46","2017-01-08 13:01:54","","107-134","","","1","","","","","","","","","","de-DE","","","","","","","Riepl, Christian: Wie wird Literatur berechenbar? Ein Modell zur rechnergestützten Analyse althebräischer Texte. In: Jahrbuch für Computerphilologie 1, S. 107-134.  bibtex: riepl_wie_1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFUK4NCB","thesis","2011","Vescovi, Darren M.","Best Practices in Authorship Attribution of English Essays","","","","","http://gradworks.umi.com/15/02/1502609.html","","2011","2016-08-16 16:43:38","2017-01-05 10:19:16","","","","","","","","","","","","","Duquesne University","Pittsburgh, PA","","","MSc Thesis","","","","","bibtex: vescovi_best_2011","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGC729D8","conferencePaper","1999","Ries, Klaus","Towards the Detection and Description of Textual Meaning Indicators in Spontaneous Conversations","European Conference on Speech Communication and Technology (EUROSPEECH '99),","","","","","","1999","2016-08-16 19:58:11","2017-01-08 13:02:08","","N/A","","","","","","","","","","","","","","","","","","","","Ries, Klaus. Towards the Detection and Description of Textual Meaning Indicators in Spontaneous Conversations. Paper delivered at and to appear in European Conference on Speech Communication and Technology EUROSPEECH '99, Budapest, Hungary, 5-9 September 1999.  bibtex: ries_towards_1999","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGIKAHBJ","conferencePaper","2009","Holbrook, A.; Craig, H.; Bourke, S.; Lovat, T.; Holmes, K.; Prieto-Rodriguez, E.","The content and language of PhD examiner reports","13th Biennial Conference: EARLI 2009","","","","","","2009","2016-08-16 19:50:16","2016-12-02 10:02:23","","","","","","","","","","","","","","","","","","","","","","bibtex: holbrook_content_2009","","","","#cllc; computational stylistics; content and language; PhD examiner reports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGWTX4ZJ","conferencePaper","2005","Airoldi, Edoardo M.; Cohen, William W.; Fienberg, Stephen E.","Bayesian methods for frequent terms in text: Models of contagion and the∆ 2 statistic","CSNA & INTERFACE Annual Meetings, St. Louis, MI","","","","","","2005","2016-12-19 14:46:51","2017-01-15 18:05:17","","31-32","","","3","","","","","","","","","","","","","","","","","bibtex: airoldi_bayesian_2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CSNA & INTERFACE Annual Meetings","","","","","","","","","","","","","","",""
"BHBMXRDQ","conferencePaper","1996","Michos, S. E.; Stamatatos, E.; Fakotakis, N.; Kokkinakis, G.","An empirical text categorizing computational model based on stylistic aspects",", Proceedings Eighth IEEE International Conference on Tools with Artificial Intelligence, 1996","","","10.1109/TAI.1996.560403","","The presented work is strongly motivated by the need for categorizing unrestricted text in terms of a functional style (FS) in order to attain a satisfying outcome in style processing. Towards this aim, a three level description of FS is given that comprises: (a) the basic categories of FS; (b) the main features that characterize each one of the above categories; and (c) the linguistic identifiers that act as style markers in text for the identification of the above features. Special emphasis is put on the problems that faced the computational implementation of the aforementioned findings, as well as the selection of the most appropriate stylometrics (i.e., stylistic scores) to achieve better results on text categorization. This approach is language independent, empirically driven, and can be used in various applications including grammar and style checking, natural language generation, style verification in real world text, and recognition of style shift between adjacent portions of text.","1996","2017-01-03 10:19:39","2017-01-03 10:19:39","","71-77","","","","","","","","","","","","","en","","","","","IEEE Xplore","","bibtex: michos_empirical_1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",", Proceedings Eighth IEEE International Conference on Tools with Artificial Intelligence, 1996","","","","","","","","","","","","","","",""
"BHNB6RCQ","conferencePaper","2004","Frantzeskou, Georgia; Gritzalis, Stefanos; MacDonell, Stephen G.","Source Code Authorship Analysis for Supporting the Cybercrime Investigation Process","Proceedings of the 1st International Conference on E-Business and Telecommunication Networks, (Setúbal, Portugal)","","","","","","2004-08","2016-08-16 16:43:38","2017-01-23 17:55:04","","85–92","","","","","","","","","","","INSTICC Press","Setubal, Portugal","","","","","","","","bibtex: frantzeskou_source_2004","","","","#check; #pj","","Filipe, Joaquim; Belo, Carlos; Vasiu, Luminita","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 1st International Conference on E-Business and Telecommunication Networks","","","","","","","","","","","","","","",""
"BHVZ6ZGK","conferencePaper","2009","Escalante, Hugo Jair; Montes, Manuel; Villaseñor, Luis","Particle Swarm Model Selection for Authorship Verification","14th Iberoamerican Conference on Pattern Recognition, CIARP, (Guadalajara, Mexico)","978-3-642-10268-4","","","http://dx.doi.org/10.1007/978-3-642-10268-4_66","","2009","2016-12-15 14:07:32","2017-01-23 10:26:13","","563-570","","","","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","","","bibtex: escalante_particle_2009","","","","","","Bayro-Corrochano, Eduardo; Eklundh, Jan-Olof","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14th Iberoamerican Conference on Pattern Recognition, CIARP","","","","","","","","","","","","","","",""
"BHXWQUM5","journalArticle","2004","Coniam, David","Concordancing oneself: Constructing individual textual profiles","International Journal of Corpus Linguistics","","","","","","2004","2016-08-16 16:43:38","2016-08-16 16:43:38","","271–298","","2","9","","","","","","","","","","","","","","","","","bibtex: coniam_concordancing_2004","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BI2JQCQZ","book","1926","Osborn, Albert S.","The Problem of Proof: Especially as Exemplified in Disputed Document Trials","","","","","","","1926","2016-08-16 19:57:47","2016-08-16 19:57:47","","","","","","","","","","","","","Nelson-Hall","N/A","","","","","","","","Osborn, Albert S. The Problem of Proof: Especially as Exemplified in Disputed Document Trials. 2nd Edition, 1926. A Facsilile Edition. Chicago: Nelson-Hall, 1975.  bibtex: osborn_problem_1926","","","","#jr6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BI42F6BS","conferencePaper","1997","Forsyth, Richard S.","Towards a Text Benchmark Suite","Proc. 1997 Joint International Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing (ACH/ALLC 1997), (Kingston, ON)","","","","","","1997","2016-08-16 16:43:38","2017-01-23 17:44:33","","","","","","","","","","","","","","","","","","","","","","bibtex: forsyth_towards_1997","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proc. 1997 Joint International Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing (ACH/ALLC 1997)","","","","","","","","","","","","","","",""
"BI5JQWWZ","conferencePaper","2005","Rudman, Joseph","The Non-Traditional Case for The Authorship of the Twelve Disputed Federalist Papers : A Monument Built on Sand","Proceedings of ACH/ALLC 2005","","","","","","2005","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","Association for Computing and the Humanities","Victoria, BC","","","","","","","","bibtex: rudman_non-traditional_2005","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIXVSES7","conferencePaper","2013","Mikros, George K.; Perifanos, Kostas","Authorship attribution in Greek tweets using multilevel author's n-gram profiles","Papers from the 2013 AAAI Spring Symposium ""Analyzing Microtext"", 25-27 March 2013, Stanford, California","","","","http://www.aaai.org/ocs/index.php/SSS/SSS13/paper/view/5714/5914","","2013","2016-08-16 16:43:38","2017-01-04 10:50:28","","17-23","","","","","","","","","","","AAAI Press","Palo Alto, California","","","","","","","","bibtex: mikros_authorship_2013","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ2TFMQB","journalArticle","2007","Nenadić, O.; Greenacre, M.","Correspondence Analysis in R, with Two- and Three-dimensional Graphics. The ca-package.","Journal of Statistical Software","","","","","","2007","2017-01-06 18:03:52","2017-01-06 18:03:52","","1-13","","3","20","","","","","","","","","","","","","","","","","bibtex: nenadic_correspondence_2007","","","","#me","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ6I9NVN","book","2001","Foster, Don","Author Unknown: Tales of a Literary Detective","","","","","","","2001","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","Holt Paperbacks","New York","","","","","","","","bibtex: foster_author_2001-1","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ8S89JI","journalArticle","1987","Thisted, Ronald; Efron, Bradley","Did Shakespeare Write a Newly-Discovered Poem?","Biometrika","","0006-3444","10.2307/2336684","http://www.jstor.org/stable/2336684","The consistency of the word usage in a previously unknown nine-stanza poem attributed to Shakespeare with that of the Shakespearean canon is examined using a nonparametric empirical Bayes model. We consider also poems by Jonson, Marlowe and Donne, as well as four poems definitely attributed to Shakespeare. On balance, the poem is found to fit previous Shakespearean usage reasonably well.","1987","2017-01-03 10:16:48","2017-01-03 10:16:48","2011-12-14 10:49:41","445-455","","3","74","","","","","","","","","","en","","","","","JSTOR","","ArticleType: research-article / Full publication date: Sep., 1987 / Copyright © 1987 Biometrika Trust  bibtex: thisted_did_1987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJCKBCE8","bookSection","1980","Fish, Stanley Eugene","What is stylistics and why are they saying such terrible things about it?","Is there a text in this class? The authority of interpretive communities","0-674-46725-6 978-0-674-46725-5 0-674-46726-4 978-0-674-46726-2","","","","","1980","2017-01-03 10:15:04","2017-01-04 09:39:40","","68-96","","","","","","","","","","","Harvard University Press","Cambridge, Mass.","en","","","","","Open WorldCat","","bibtex: fish_what_1980","","","","style","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJIDGZ3Q","journalArticle","1990","Hilton, John L.","On Verifying Wordprint Studies: Book of Mormon Authorship","BYU Studies","","","","","","1990","2016-08-16 19:48:06","2017-01-09 08:41:08","","1-17","","3","30","","","","","","","","","","","","","","","","","---. On Verifying Wordprint Studies: Book of Mormon Authorship. BYU Studies 30.3 1990: 1-17.  bibtex: hilton_verifying_1990","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJTI58VT","journalArticle","1994","Ledger, Gerard R.; Merriam, Thomas","Shakespeare, Fletcher and the <em>Two Noble Kinsmen</em>","Literary and Linguistic Computing","","","","","","1994","2016-08-16 19:57:47","2017-01-01 21:01:30","","235-248","","3","9","","","","","","","","","","","","","","","","","Ledger, Gerard R., and Thomas Merriam. Shakespeare, Fletcher and the Two Noble Kinsmen. Literary and Linguistic Computing 9.3 1994: 235-248.  bibtex: ledger_shakespeare_1994","","","","#jr6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKHA4H8B","journalArticle","2002","Lodhi, Huma","Text Classification Using String Kernals","Journal of Machine Learning Research","","","","","","2002","2016-08-16 19:58:11","2017-01-05 13:40:30","","419-444","","","2","","","","","","","","","","","","","","","","","Lodhi, Huma, et al. Text Classification Using String Kernals. Journal of Machine Learning Research 2 2002: 419-444.  bibtex: lodhi_text_2002","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKJPKNZH","conferencePaper","1994","Juola, Patrick; Hall, Chris; Boggs, Adam","Corpus-Based Morphological Segmentation by Entropy Changes","3rd International Conference on the Cognitive Science of Natural Language Processing (CSNLP-94)","","","","","","1994-07","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","","Dublin, Ireland","","","","","","","","bibtex: juola_corpus-based_1994","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BM5VWR7N","bookSection","1951","Shannon, Claude Elmwood","Prediction and Entropy of Printed English","Key Papers in the Development of Information Theory","","","","","","1951","2016-08-16 16:43:38","2017-01-03 18:08:51","","42-46","","","","","","","","","","","IEEE Press","New York","","","","","","","","bibtex: shannon_prediction_1951-1","","","","#pj","","Slepian, David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BM84I5W6","book","2002","Joachims, Thorsten","Learning to Classify Text Using Support Vector Machines","","","","","","","2002","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","Kluwer","","","","","","","","","bibtex: joachims_learning_2002","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BM8BMINE","journalArticle","2010","Legara, Erika Fille; Monterola, Christopher; Abundo, Cheryl","Ranking of Predictor Variables based on Effect Size Criterion Provides an Accurate Means of Automatically Classfying Opinion Column Articles","Physica A","","","","","","2010","2016-08-16 19:57:47","2017-01-05 13:33:10","","187-213","","1","390","","","","","","","","","","","","","","","","","Legara, Erika Fille, Christopher Monterola, and Cheryl Abundo. Ranking of Predictor Variables based on Effect Size Criterion Provides an Accurate Means of Automatically Classfying Opinion Column Articles. Physica A 2010 In Press  bibtex: legara_ranking_2010","","","","#jr6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMW6E3AP","journalArticle","1987","Kemerer, Chris F.","An Empirical Validation of Software Cost Models","Communications of the ACM","","","","","","1987-05","2016-08-16 16:43:38","2017-01-05 12:40:37","","416–429","","5","30","","","","","","","","","","","","","","","","","bibtex: kemerer_empirical_1987","","","","#pj","","Zmud, Robert W.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
